show_id,type,title,country,released year,rating,listed_in,
s190,TV Show,Bread Barbershop,,28-Aug-21,TV-Y,"Kids' TV, TV Comedies",
s191,Movie,Thimmarusu,India,28-Aug-21,TV-14,"Dramas, International Movies",
s192,Movie,Wind River,"United Kingdom, Canada, United States",28-Aug-21,R,"Dramas, Independent Movies",
s193,Movie,C Kkompany,India,27-Aug-21,TV-14,"Action & Adventure, Comedies, International Movies",
s194,TV Show,D.P.,", South Korea",27-Aug-21,TV-MA,"International TV Shows, TV Dramas",
s195,TV Show,Deadly Sins,,27-Aug-21,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",
s196,Movie,EMI: Liya Hai To Chukana Padega,India,27-Aug-21,TV-14,"Comedies, Dramas, International Movies",
s197,Movie,He's All That,,27-Aug-21,TV-14,"Comedies, Romantic Movies",
s198,TV Show,I Heart Arlo,,27-Aug-21,TV-Y7,"Kids' TV, TV Comedies",
s199,TV Show,King of Boys: The Return of the King,Nigeria,27-Aug-21,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",
s200,Movie,Koi Aap Sa,India,27-Aug-21,TV-14,"Comedies, Dramas, International Movies",
s201,Movie,Krishna Cottage,India,27-Aug-21,TV-14,"Action & Adventure, Horror Movies, International Movies",
s202,Movie,Kucch To Hai,India,27-Aug-21,TV-14,"Dramas, International Movies, Thrillers",
s203,Movie,Kyaa Kool Hai Hum,India,27-Aug-21,TV-MA,"Comedies, International Movies, Music & Musicals",
s204,Movie,Kyaa Kool Hain Hum 3,India,27-Aug-21,TV-MA,"Comedies, International Movies",
s205,Movie,Kyaa Super Kool Hain Hum,India,27-Aug-21,TV-MA,"Comedies, International Movies",
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,27-Aug-21,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",
s207,Movie,"LSD: Love, Sex Aur Dhokha",India,27-Aug-21,TV-MA,"Dramas, Independent Movies, International Movies",
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,27-Aug-21,TV-14,"Action & Adventure, International Movies, Music & Musicals",
s209,Movie,Once Upon a Time in Mumbaai,India,27-Aug-21,TV-14,"Dramas, International Movies, Music & Musicals",
s210,Movie,Once Upon a Time in Mumbai Dobaara!,India,27-Aug-21,TV-14,"Dramas, International Movies, Music & Musicals",
s211,Movie,Ragini MMS,India,27-Aug-21,TV-MA,"Horror Movies, International Movies",
s212,Movie,Ragini MMS 2,India,27-Aug-21,TV-MA,"Horror Movies, International Movies",
s213,TV Show,Rebellion,Ireland,27-Aug-21,TV-MA,"International TV Shows, TV Dramas",
s214,TV Show,RIDE ON TIME,,27-Aug-21,TV-PG,"Docuseries, International TV Shows",
s215,Movie,SAS: Rise of the Black Swan,,27-Aug-21,R,"Action & Adventure, International Movies",
s216,Movie,Shootout at Lokhandwala,India,27-Aug-21,TV-MA,"Action & Adventure, Dramas, International Movies",
s217,Movie,Shor In the City,India,27-Aug-21,TV-14,"Comedies, Dramas, Independent Movies",
s218,Movie,The Dirty Picture,India,27-Aug-21,TV-14,"Comedies, Dramas, International Movies",
s219,TV Show,Titletown High,,27-Aug-21,TV-14,"Reality TV, Teen TV Shows",
s220,TV Show,EDENS ZERO,Japan,26-Aug-21,TV-14,"Anime Series, International TV Shows",
s221,TV Show,Family Reunion,United States,26-Aug-21,TV-PG,"Kids' TV, TV Comedies",
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",,25-Aug-21,TV-14,Documentaries,
s223,TV Show,Clickbait,,25-Aug-21,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",
s224,TV Show,John of God: The Crimes of a Spiritual Healer,,25-Aug-21,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",
s225,TV Show,Motel Makeover,,25-Aug-21,TV-14,"International TV Shows, Reality TV",
s226,TV Show,Open Your Eyes,,25-Aug-21,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",
s227,TV Show,Post Mortem: No One Dies in Skarnes,,25-Aug-21,TV-MA,"International TV Shows, TV Comedies, TV Dramas",
s228,Movie,Really Love,United States,25-Aug-21,TV-MA,"Dramas, Independent Movies, Romantic Movies",
s229,Movie,The November Man,"United States, United Kingdom",25-Aug-21,R,Action & Adventure,
s230,Movie,The Old Ways,United States,25-Aug-21,TV-MA,Horror Movies,
s231,Movie,The River Runner,,25-Aug-21,TV-MA,"Documentaries, Sports Movies",
s232,Movie,The Water Man,United States,25-Aug-21,PG,"Children & Family Movies, Dramas",
s233,TV Show,Wheel of Fortune,United States,25-Aug-21,TV-G,Reality TV,
s234,Movie,Count Me In,United Kingdom,24-Aug-21,TV-MA,"Documentaries, Music & Musicals",
s235,TV Show,Oggy Oggy,,24-Aug-21,TV-Y,"Kids' TV, TV Comedies",
s236,Movie,Untold: Caitlyn Jenner,,24-Aug-21,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies",
s237,Movie,Boomika,,23-Aug-21,TV-14,"Horror Movies, International Movies, Thrillers",
s238,Movie,Boomika (Hindi),,23-Aug-21,TV-14,"Horror Movies, International Movies, Thrillers",
s239,Movie,Boomika (Malayalam),,23-Aug-21,TV-14,"Horror Movies, International Movies, Thrillers",
s240,Movie,Boomika (Telugu),,23-Aug-21,TV-14,"Horror Movies, International Movies, Thrillers",
s241,Movie,The Witcher: Nightmare of the Wolf,,23-Aug-21,TV-MA,"Action & Adventure, Anime Features",
s242,TV Show,Manifest,United States,21-Aug-21,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",
s243,TV Show,Comedy Premium League,,20-Aug-21,TV-MA,"International TV Shows, TV Comedies",
s244,TV Show,Everything Will Be Fine,,20-Aug-21,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",
s245,Movie,Gunshot,,20-Aug-21,TV-14,"Dramas, International Movies, Thrillers",
s246,TV Show,Korean Cold Noodle Rhapsody,,20-Aug-21,TV-PG,"Docuseries, International TV Shows",
s247,Movie,Man in Love,,20-Aug-21,TV-MA,"Dramas, International Movies, Romantic Movies",
s248,Movie,Sweet Girl,United States,20-Aug-21,R,"Action & Adventure, Dramas",
s249,TV Show,The Chair,,20-Aug-21,TV-MA,"TV Comedies, TV Dramas",
s250,Movie,The Loud House Movie,,20-Aug-21,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",
s251,Movie,A Faraway Land,,19-Aug-21,TV-PG,"Dramas, International Movies, Romantic Movies",
s252,Movie,Like Crazy,United States,19-Aug-21,PG-13,"Dramas, Independent Movies, Romantic Movies",
s253,Movie,Black Island,,18-Aug-21,TV-MA,"International Movies, Thrillers",
s254,Movie,Bombay,India,18-Aug-21,TV-14,"Dramas, International Movies, Romantic Movies",
s255,TV Show,Go! Go! Cory Carson,United States,18-Aug-21,TV-Y,Kids' TV,
s256,Movie,Memories of a Murderer: The Nilsen Tapes,,18-Aug-21,TV-MA,"Documentaries, International Movies",
s257,Movie,Nneka The Pretty Serpent,,18-Aug-21,TV-14,"Dramas, International Movies",
s258,Movie,O Kadhal Kanmani,,18-Aug-21,TV-14,"Dramas, International Movies, Romantic Movies",
s259,Movie,Out of my league,,18-Aug-21,TV-MA,"Comedies, Dramas, International Movies",
s260,Movie,Pahuna,"India, Nepal",18-Aug-21,TV-PG,"Comedies, Dramas, International Movies",
s261,TV Show,The Defeated,,18-Aug-21,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",
s262,Movie,The Secret Diary of an Exchange Student,,18-Aug-21,TV-14,"Comedies, International Movies, Romantic Movies",
s263,Movie,Untold: Deal With the Devil,,18-Aug-21,TV-MA,"Documentaries, LGBTQ Movies, Sports Movies",
s264,TV Show,Mother Goose Club,United States,16-Aug-21,TV-Y,Kids' TV,
s265,Movie,Walk of Shame,United States,16-Aug-21,R,"Comedies, Independent Movies",
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,Japan,15-Aug-21,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",
s267,TV Show,The Creative Indians,India,15-Aug-21,TV-MA,"Docuseries, International TV Shows",
s268,Movie,The Piano,"New Zealand, Australia, France, United States",15-Aug-21,R,"Classic Movies, Dramas, Independent Movies",
s269,Movie,Unroyal,,15-Aug-21,TV-MA,"Dramas, International Movies",
